PatchID,X,Y,SubpatchNO,K,K StDev,N0,Natal Grounds,Migration Out Grounds,Genes Initialize,Class Vars,Mortality Out,Mortality Out StDev,Mortality Back,Mortality Back StDev,Mortality Eggs,Mortality Eggs StDev,Migration Out Prob,Set Migration Out,Migration Back Prob,Straying Prob,Dispersal Prob,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev,Capture Probability Out,Capture Probability Back,HabitatOut,HabitatBack,Fitness_AA,Fitness_Aa,Fitness_aa,Fitness_BB,Fitness_Bb,Fitness_bb,Fitness_AABB,Fitness_AaBB,Fitness_aaBB,Fitness_AABb,Fitness_AaBb,Fitness_aaBb,Fitness_AAbb,Fitness_Aabb,Fitness_aabb,comp_coef
11,13900.000000,400.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
12,10400.000000,7100.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
13,5700.000000,400.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
14,13900.000000,300.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
15,16700.000000,7100.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
16,16000.000000,2100.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
17,15700.000000,3600.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
18,16600.000000,7100.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
19,14100.000000,400.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
20,5400.000000,800.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
21,8200.000000,4900.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
22,7900.000000,5300.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
23,16800.000000,6700.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
24,1000.000000,6800.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
25,2000.000000,6800.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
26,15600.000000,7000.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
27,2000.000000,7100.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
28,16500.000000,7200.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
29,12800.000000,7500.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
30,11800.000000,7700.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
31,12300.000000,8000.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
32,12100.000000,8100.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
